year,greenhouse gas emissions person,methane emissions person,nitrous oxide emissions person,Global average temperature anomaly,Upper bound of the annual temperature anomaly (95% confidence interval),Lower bound of the annual temperature anomaly (95% confidence interval),Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temp anomaly (Lower CI),Sea surface temp anomaly (Upper CI),Maximum Antarctic sea ice extent,Minimum Antarctic sea ice extent,Minimum Arctic sea ice extent,Maximum Arctic sea ice extent,Global sea level as an average of Church and White (2011) and UHSLC data,Annual CO2 emission,Annual greenhouse gas emissions,Annual nitrous emissions,Annual methane emissions
1850,3.2974901,0.96919006,0.10797971,-0.4177114,-0.2461663,-0.58925647,-0.3095,-0.40579,-0.23192,22.26345877,5.956421224,14.92347616,20.64658736,-233.0011449,2839998000.0,4216864500.0,138085570.0,1239410300.0
1851,3.3690834,0.9713515,0.10980301,-0.2333498,-0.054831687,-0.41186792,-0.19337,-0.28779,-0.1175,22.25274072,5.986413921,14.86937515,20.69433915,-231.2423162,2931572500.0,4314936300.0,140629650.0,1244053500.0
1852,3.41474,0.9748294,0.11154971,-0.22939907,-0.04941572,-0.40938243,-0.18339,-0.27454,-0.10496,22.13999849,5.96104633,14.78840392,20.636835,-229.4834875,2987633200.0,4381056000.0,143116460.0,1250690200.0
1853,3.4719994,0.97953695,0.11328432,-0.27035445,-0.110699534,-0.43000934,-0.21098,-0.29375,-0.14112,22.25967205,5.930483981,14.689601,20.54313545,-227.7246588,3056659500.0,4459687400.0,145510580.0,1258188200.0
1854,3.5361192,0.9880293,0.11490474,-0.29152083,-0.15033019,-0.4327115,-0.26843,-0.34812,-0.20058,22.24592084,5.879601972,14.70961379,20.56009637,-225.9658301,3130210600.0,4547728400.0,147776560.0,1270683600.0
1855,3.5499957,0.99173653,0.116385005,-0.29691675,-0.15451474,-0.43931878,-0.24173,-0.31821,-0.17362,22.18149759,5.936836382,14.57818016,20.59413562,-224.2070013,3145382100.0,4571633700.0,149878940.0,1277144000.0
1856,3.578191,0.9970323,0.11769602,-0.32035372,-0.1726142,-0.46809322,-0.30534,-0.38033,-0.23833,22.06905078,5.849610068,14.5417037,20.42495888,-222.4481726,3178525000.0,4614482000.0,151782320.0,1285785900.0
1857,3.611652,1.0001059,0.11881113,-0.46723005,-0.31813794,-0.61632216,-0.42742,-0.49758,-0.36567,22.12103036,5.816000893,14.49784233,20.52121943,-220.6893439,3220414000.0,4664652000.0,153451260.0,1291693000.0
1858,3.6302652,1.0029342,0.11970337,-0.3887657,-0.24064532,-0.53688604,-0.40247,-0.46987,-0.33946,21.95720024,5.86498711,14.40140466,20.29816552,-218.9305152,3244371000.0,4696172500.0,154850300.0,1297412700.0
1859,3.6823134,1.0080893,0.12032227,-0.28126517,-0.1386095,-0.42392084,-0.27896,-0.34387,-0.21717,22.07052493,5.846848842,14.38736329,20.4553978,-217.1716865,3310846700.0,4772474000.0,155944050.0,1306537200.0
1860,3.5837789,1.0133036,0.12052708,-0.39016518,-0.24135375,-0.5389766,-0.23687,-0.2975,-0.17646,21.91731929,5.82824949,14.25471223,20.24307375,-215.4128577,3186024700.0,4659264000.0,156697020.0,1317394200.0
1861,3.5189755,1.0181949,0.12076049,-0.42911294,-0.26122484,-0.597001,-0.36428,-0.42387,-0.30183,21.85990412,5.787407426,14.25106922,20.35704305,-213.654029,3099779300.0,4581871000.0,157235820.0,1325737500.0
1862,3.5007076,1.0204196,0.12080635,-0.5363694,-0.3690788,-0.70365995,-0.3972,-0.45283,-0.33867,21.8303355,5.771795604,14.1586006,20.24215726,-211.8952003,3081714000.0,4570386000.0,157720020.0,1332219600.0
1863,3.50712,1.0259657,0.12078687,-0.34424406,-0.15445141,-0.53403676,-0.32899,-0.38537,-0.26604,21.95863803,5.728751756,14.16073208,20.1695364,-210.1363716,3092117200.0,4592377300.0,158163650.0,1343444700.0
1864,3.5068045,1.0309299,0.12073966,-0.46546507,-0.28283712,-0.64809304,-0.36861,-0.42054,-0.30746,21.79416182,5.64503582,14.09681736,20.13533822,-208.3775429,3095196700.0,4605874000.0,158580750.0,1354034300.0
1865,3.4873726,1.0352393,0.12067627,-0.33248132,-0.14050578,-0.5244569,-0.21322,-0.26292,-0.15283,21.76509673,5.700682627,13.96038328,20.1770886,-206.6187141,3073076500.0,4594452000.0,158985390.0,1363879800.0
1866,3.5086734,1.0398017,0.12060753,-0.3412875,-0.16077414,-0.5218009,-0.20775,-0.25667,-0.14592,21.69269665,5.631585371,13.92117755,20.18158351,-204.8598854,3104919800.0,4636967000.0,159391620.0,1374173400.0
1867,3.5365224,1.0425539,0.1205434,-0.35699412,-0.16096504,-0.5530232,-0.20575,-0.25158,-0.14521,21.79895355,5.643823402,13.84652285,20.00083833,-203.1010567,3148972300.0,4688634000.0,159813460.0,1382192100.0
1868,3.5198324,1.0443609,0.120494485,-0.35182714,-0.1741756,-0.5294787,-0.2161,-0.25933,-0.15858,21.78097682,5.583952683,13.81017186,20.01439877,-201.342228,3133393700.0,4681590000.0,160264940.0,1389063000.0
1869,3.5259366,1.0481714,0.12042606,-0.31659195,-0.15672056,-0.47646335,-0.2839,-0.32662,-0.22646,21.72817262,5.547346036,13.79438004,19.97097035,-199.5833993,3148309500.0,4706873300.0,160760180.0,1399233900.0
1870,3.6910503,1.0481409,0.12023062,-0.32792753,-0.18715557,-0.46869946,-0.22569,-0.26742,-0.1695,21.60869274,5.5517801,13.64478432,19.96726533,-197.8245705,3386678300.0,4952273400.0,161313140.0,1406288100.0
1871,3.7900755,1.0545242,0.12158267,-0.36856276,-0.22299235,-0.51413316,-0.23173,-0.271,-0.17908,21.55289056,5.556919638,13.65026323,19.98023155,-196.0657418,3521333200.0,5102981600.0,163699680.0,1419818000.0
1872,3.870881,1.0631474,0.12505582,-0.32811058,-0.19305114,-0.46317002,-0.24454,-0.28362,-0.19062,21.55826225,5.488043822,13.52232375,19.83759247,-194.3069131,3631243800.0,5237430000.0,169204660.0,1438473500.0
